Id,Hour1,Hour2,Hour3,Lat,Lon,Posts
106,07,13,16,0.0,0.0,27
108,18,25,25,35.772,-78.638,1
110,13,00,15,41.565,-81.441,30
111,07,05,09,35.552,139.647,26
112,16,17,25,38.550,-121.694,2
114,18,02,17,29.748,-95.378,775
116,19,20,17,35.795,-78.706,67
117,22,03,21,34.092,-117.435,936
118,17,11,13,53.966,-1.083,9
120,17,20,23,41.034,-73.629,223
121,19,20,22,-41.228,174.880,11
122,12,25,25,41.895,-87.843,4
123,20,19,16,0.0,0.0,120
124,01,07,16,32.833,-97.009,510
125,17,22,20,47.601,-122.117,149
126,10,25,25,37.983,23.733,1
127,02,16,15,37.794,-122.195,29
128,14,19,07,52.307,4.972,13
129,20,25,25,38.953,-77.106,1
130,08,04,23,-33.916,151.166,38
131,04,16,18,35.911,-78.850,13
132,00,23,10,35.619,139.728,15
134,21,17,13,41.9,12.483,24
135,11,06,18,0.0,0.0,7
136,16,01,02,37.430,-122.144,5
137,20,25,25,38.666,-77.941,1
138,02,21,03,37.705,-122.461,237
139,11,25,25,48.884,2.294,3
140,01,16,00,33.953,-117.396,13
141,13,07,09,35.704,139.602,403
142,23,03,00,33.723,-84.504,3
143,01,20,18,29.622,-82.380,17
144,19,06,04,40.674,-73.882,7
145,10,25,25,39.103,117.252,1
147,19,20,18,37.569,-77.598,48
148,03,01,04,35.179,-80.881,8
149,05,18,07,35.658,139.701,17
150,07,09,08,35.671,139.691,38
151,19,11,12,49.2,2.583,34
152,17,01,18,42.963,-85.668,5
153,18,15,22,-23.547,-46.636,8
154,19,00,01,38.968,-77.341,82
155,20,01,25,37.790,-122.404,4
156,22,13,00,40.659,-3.767,7
157,04,21,03,37.339,-121.894,6
158,15,19,00,42.539,-83.360,37
159,16,17,02,39.012,-77.496,16
160,23,25,25,32.931,-96.459,1
161,04,02,01,45.244,-93.663,25
162,06,25,25,34.019,-118.491,1
164,09,14,25,38.716,-9.133,2
166,09,11,03,35.677,139.761,10
168,02,23,00,40.440,-79.995,225
169,22,01,05,32.617,-85.480,8
170,15,18,01,33.748,-84.387,125
171,21,22,25,47.613,-122.351,3
173,23,25,25,47.949,-124.378,1
175,19,18,00,25.774,-80.193,79
176,06,02,05,35.683,139.6,47
179,05,25,25,36.198,-81.666,2
181,09,25,25,55.677,12.570,1
182,12,16,25,43.451,-80.489,5
183,20,22,19,42.365,-71.108,20
184,08,19,23,37.774,-122.419,5
185,04,16,15,38.890,-76.984,45
186,09,25,25,50.483,-4.2,1
187,01,03,19,41.850,-87.650,235
188,22,25,25,33.748,-84.387,5
189,17,16,12,42.479,-83.456,6
190,10,08,03,35.165,136.908,215
191,02,20,19,38.855,-94.799,148
192,07,21,22,44.818,20.468,1325
193,04,19,06,39.894,-86.043,7
194,00,25,25,36.585,-79.395,1
195,14,19,25,40.644,-8.645,3
196,20,25,25,42.278,-71.443,3
197,03,02,05,40.440,-79.995,436
198,06,11,16,12.933,77.587,32
199,14,12,19,53.480,-2.237,19
200,18,11,19,52.073,5.126,8
201,01,21,16,39.183,-96.571,81
202,18,25,25,64.118,-21.857,1
203,19,15,17,45.523,-122.676,43
204,14,25,25,0.0,0.0,3
205,05,25,25,37.368,-122.036,1
206,09,25,25,59.233,18.1,1
207,17,25,25,47.673,-122.121,1
209,21,20,25,37.250,-119.751,2
210,21,18,02,37.702,-121.935,54
211,22,25,25,40.756,-111.883,2
212,02,18,10,34.020,-118.150,5
213,21,25,25,38.134,-84.490,1
214,14,23,22,33.763,-84.343,317
215,20,25,25,52.006,4.355,1
216,00,05,25,30.267,-97.743,3
219,16,21,17,33.197,-96.615,3
220,09,25,25,45.564,12.428,1
221,17,03,25,34.052,-118.243,3
222,16,07,14,33.659,-85.831,17
223,02,03,19,29.665,-95.019,11
224,05,25,25,42.829,-73.950,2
225,06,23,21,47.354,8.560,4
226,18,02,19,40.908,29.39,39
227,15,17,21,37.774,-122.419,157
228,23,00,01,43.472,-88.191,217
229,03,05,23,39.739,-104.984,47
230,20,25,25,49.249,-123.119,2
231,21,19,01,33.393,-111.673,66
232,09,16,11,55.665,12.517,39
233,01,20,07,37.782,-122.463,4
234,19,20,25,37.788,-122.405,2
235,13,05,00,35.715,140.075,244
236,03,09,10,-6.268,106.806,87
238,21,00,25,36.453,-94.115,2
240,23,19,22,49.283,-123.094,61
241,22,25,25,27.947,-82.458,1
242,16,19,21,34.052,-118.243,1884
243,18,20,02,39.754,-105.017,65
244,04,03,12,42.313,140.976,2100
245,19,20,14,56.016,-4.733,2075
247,13,15,16,44.000,-120.501,23
248,16,17,21,37.330,-121.888,3
250,16,17,14,-33.444,-70.623,39
251,23,20,25,41.700,-71.459,2
253,05,12,25,1.377,103.959,2
254,15,11,13,35.518,139.630,90
255,18,13,17,53.3,6.2,7
256,10,25,25,51.912,4.552,1
257,16,14,02,35.878,-86.406,27
258,23,22,20,38.811,-94.531,46
259,00,01,23,35.518,-97.632,229
260,17,22,11,53.793,-1.751,17
261,20,21,11,41.9,12.483,78
262,21,19,25,32.776,-79.930,3
263,16,19,15,40.743,-74.032,186
264,23,11,10,54.480,-6.226,10
265,17,18,14,41.960,12.536,53
266,12,25,25,40.608,-75.490,1
267,12,16,19,59.85,17.633,8
268,12,04,14,27.697,-97.337,9
269,04,25,25,0.0,0.0,1
270,02,25,25,51.050,-114.085,2
271,15,12,10,57.133,-2.1,24
272,15,10,14,43.093,141.341,2100
273,14,25,25,45.499,-73.570,1
274,07,16,12,41.066,28.946,30
275,03,25,25,43.700,-79.416,1
276,00,23,01,39.912,-105.041,38
277,15,16,07,61.266,24.033,18
278,05,04,00,34.806,138.754,15
279,15,25,25,60.175,24.934,2
280,17,22,25,39.952,-75.163,2
281,12,21,15,39.952,-75.163,96
282,00,25,25,30.267,-97.743,1
283,22,01,16,47.619,-122.130,5
284,16,15,14,49.632,6.176,155
285,21,09,08,45.666,9.630,27
286,11,25,25,38.145,13.084,1
287,23,12,25,59.938,10.776,3
288,19,14,07,39.041,-94.593,42
290,19,25,25,40.714,-74.005,3
291,20,25,25,51.75,-0.333,4
292,15,22,16,37.806,-122.404,436
293,01,22,02,35.227,-80.843,6
294,05,16,01,45.557,-122.867,14
295,13,17,14,41.557,-83.627,98
296,01,25,25,40.149,26.401,2
298,23,15,19,29.761,-95.396,32
299,12,19,22,52.476,-0.457,27
300,18,17,25,40.652,-79.871,3
303,23,25,25,39.000,-105.500,1
304,10,12,11,35.742,139.604,99
306,17,01,16,40.800,-72.870,71
307,23,25,25,35.387,-119.023,2
308,23,19,22,32.881,-79.976,111
309,16,17,21,30.398,-97.638,28
311,04,25,25,37.367,127.107,1
313,05,20,04,39.998,-105.272,13
315,22,00,25,40.727,-73.980,3
316,05,07,10,35.630,139.740,22
317,10,18,14,60.168,24.939,61
318,11,10,25,60.391,5.324,2
320,13,04,08,34.743,135.362,21
321,03,00,23,33.542,-112.179,161
322,20,25,25,38.910,-77.189,2
324,04,10,09,35.686,139.729,5
325,20,25,25,41.850,-87.650,1
326,10,25,25,41.013,28.949,6
327,01,03,00,37.339,-121.894,73
328,23,02,01,42.486,-83.144,7
329,13,11,18,35.684,139.693,10
330,23,18,25,40.755,-73.993,2
332,21,04,00,33.916,-117.883,17
333,19,03,01,30.403,-97.853,27
334,03,22,18,32.783,-96.806,19
335,03,02,25,-34.922,-56.157,8
336,04,08,06,37.925,-122.527,10
337,22,17,20,43.730,-83.976,7
338,22,19,18,40.589,-74.502,4
339,01,25,25,24.0,121.0,1
340,14,15,01,44.858,-93.661,455
341,17,00,22,38.829,-9.467,17
342,01,12,10,-32.0,115.75,494
343,11,10,12,0.0,0.0,147
344,22,00,23,40.440,-79.995,557
345,21,11,20,48.137,11.574,28
346,07,01,23,29.895,-97.909,5
347,03,22,15,39.579,-104.879,3
348,05,25,25,33.520,-86.802,2
349,20,19,18,34.169,-118.536,3
350,03,02,01,42.279,-71.149,6
351,05,03,04,35.204,-89.873,28
352,19,13,15,42.194,-71.199,26
353,14,15,10,35.646,139.709,12
354,23,17,14,50.866,4.333,4
355,05,20,17,36.863,-76.286,64
356,21,03,20,50.035,-110.687,8
357,18,19,21,33.517,-86.801,261
358,21,15,25,38.592,-90.357,3
359,03,02,04,34.416,-119.694,239
360,23,19,10,35.133,136.683,12
361,21,23,19,45.438,-122.563,990
362,10,20,23,52.2,5.383,13
363,15,17,14,52.524,13.409,13
364,09,04,08,35.696,139.793,90
365,18,25,25,41.850,-87.650,1
366,23,22,25,49.316,-123.069,2
367,04,25,25,37.774,-122.419,1
368,19,01,18,38.956,-94.592,633
369,00,21,17,40.444,-79.952,61
370,03,22,00,38.898,-77.081,11
372,19,01,02,47.646,-122.138,6
373,14,15,16,41.587,-93.623,13
374,17,18,25,35.276,-85.055,4
375,15,19,13,32.982,-96.702,11
376,16,03,13,33.820,-84.309,12
377,09,16,25,52.371,4.900,2
378,18,19,06,51.048,-114.087,12
379,16,17,18,0.0,0.0,45
380,23,25,25,35.076,-106.537,1
381,05,25,25,41.850,-87.650,1
382,03,25,25,13.75,100.516,2
383,04,21,22,45.537,-122.863,20
384,02,21,23,43.038,-87.906,50
385,23,04,01,33.872,130.524,50
386,03,25,25,33.889,-84.237,2
387,22,00,03,47.606,-122.332,4
389,04,03,25,40.686,-73.858,2
390,06,07,08,35.611,139.626,224
391,00,19,17,45.424,-122.811,2100
392,23,25,25,44.088,-123.044,1
393,15,20,11,28.154,-82.536,9
394,07,23,05,32.912,-96.638,12
395,23,00,10,35.605,139.335,11
396,18,05,21,38.916,-92.293,4
397,12,13,18,38.900,-77.016,65
398,21,12,22,40.675,-73.971,2100
399,10,25,25,52.516,13.399,1
401,20,22,21,40.621,-73.922,7
402,21,20,16,38.010,-84.530,40
403,19,21,13,45.809,9.087,59
404,12,22,18,51.683,-1.183,42
405,15,12,14,52.073,4.263,40
409,17,25,25,-35.675,-71.542,1
410,11,13,16,51.542,-0.087,100
411,00,04,15,40.772,-82.551,13
412,23,21,16,40.625,-75.370,90
413,17,15,25,60.163,24.617,2
414,13,12,10,35.608,139.670,57
415,23,21,20,40.816,-73.946,69
416,19,00,23,47.614,-122.312,4
417,17,21,18,59.329,18.062,121
418,06,25,25,42.927,-83.629,1
419,07,25,25,60.175,24.934,1
420,02,11,18,41.977,-87.668,10
421,23,00,22,38.004,-121.805,1624
422,05,16,07,42.468,-76.455,20
423,00,23,17,42.885,-78.873,706
425,09,25,25,51.221,6.776,2
427,13,12,15,0.0,0.0,27
428,14,25,25,39.099,-94.578,1
429,20,19,00,45.539,-73.598,28
430,13,03,14,29.763,-95.363,22
431,03,25,25,-34.720,-58.269,1
432,08,05,04,45.480,-122.642,1151
433,05,22,17,38.953,-94.733,162
434,21,19,20,45.85,1.25,22
435,16,13,17,41.499,-81.695,27
436,19,17,22,50.927,1.805,12
437,22,18,14,39.952,-75.163,7
439,22,25,25,48.577,7.765,1
440,19,18,20,0.0,0.0,776
441,12,06,15,42.6,-5.566,35
443,06,25,25,40.152,-75.266,1
445,04,20,16,38.906,-77.048,9
447,14,17,25,35.801,-78.720,5
449,17,01,18,44.979,-93.263,3
450,15,16,18,19.516,-99.25,5
451,10,11,17,59.433,24.728,26
452,14,18,23,46.466,-73.132,7
453,02,03,00,30.832,-83.278,746
455,07,02,01,37.0,127.5,9
456,17,20,16,33.485,-86.812,350
457,07,25,25,38.370,-97.664,1
458,16,25,25,45.019,-85.352,3
459,17,16,25,40.766,-73.956,4
460,18,01,00,39.290,-76.612,288
461,19,23,16,57.165,-2.112,76
462,04,03,01,21.307,-157.855,575
463,18,16,15,62.383,17.3,4
464,09,12,01,-37.066,144.216,14
465,22,03,21,32.716,-117.161,90
466,01,20,25,38.624,-90.150,3
467,18,25,25,39.240,-76.839,1
468,19,21,01,35.491,-92.031,11
469,13,11,09,-37.819,145.026,55
470,07,17,19,53.383,-2.516,48
471,18,01,25,38.165,-122.900,2
472,16,19,21,40.880,-85.166,62
473,22,03,18,38.627,-90.197,12
474,22,25,25,40.014,-105.270,1
476,00,11,23,30.267,-97.743,64
477,02,05,01,37.426,-92.956,30
478,14,07,25,49.993,8.367,2
479,18,16,19,42.963,-85.673,12
480,00,02,18,27.955,-81.878,4
481,04,22,21,0.0,0.0,36
482,18,17,23,47.307,-122.228,10
483,04,05,21,39.739,-104.984,180
484,02,25,25,32.921,-117.055,1
485,14,15,25,51.221,6.776,3
486,12,22,25,56.283,12.5,2
487,15,14,00,42.395,-71.182,5
488,15,13,23,38.952,-77.068,71
489,20,07,19,30.332,-81.655,9
490,10,12,08,34.751,113.668,14
491,11,08,23,59.452,17.943,72
492,01,02,03,39.978,-105.132,140
494,21,02,01,0.0,0.0,71
495,22,20,21,41.450,-72.816,270
496,13,25,25,50.698,7.235,2
497,02,06,21,35.486,-97.587,41
498,14,15,10,53.473,-2.240,4
499,11,12,15,41.011,28.946,15
501,15,16,22,46.211,-119.137,11
502,14,15,16,33.754,-84.387,430
503,09,25,25,52.9,-1.183,1
505,16,11,25,61.0,24.45,6
507,12,00,17,45.516,-73.649,183
508,00,19,01,40.167,-105.101,21
509,01,25,25,52.410,-0.709,2
510,22,15,25,36.149,-79.870,2
512,17,19,22,30.396,-97.745,46
513,14,15,17,41.765,-72.671,85
514,20,21,19,34.052,-118.243,743
515,10,18,08,24.831,121.018,18
516,11,17,12,52.953,-1.150,6
517,18,19,16,41.853,-87.656,10
518,17,20,19,40.826,-73.922,248
519,05,04,25,33.415,-111.549,2
520,04,19,23,37.968,-78.715,4
521,15,17,00,39.739,-104.984,11
522,19,04,18,33.577,-101.855,22
523,15,25,25,35.910,-79.075,1
524,20,13,11,53.55,8.083,62
525,23,10,05,33.870,-117.925,17
526,05,15,04,47.541,-121.878,4
527,06,07,25,35.685,139.751,4
529,01,17,03,39.747,-104.994,3
530,03,04,05,39.739,-104.984,7
531,23,11,25,55.95,-3.2,2
532,20,23,00,37.348,-76.728,106
534,13,01,23,36.147,-86.838,15
535,03,23,10,-35.15,147.466,4
536,19,18,10,50.716,-1.883,1044
537,15,25,25,37.067,-76.514,1
538,02,25,25,34.012,-117.688,1
539,14,12,16,52.370,9.733,11
540,23,25,25,38.914,-77.046,1
541,18,22,01,34.698,-118.136,42
542,20,22,19,59.329,18.062,9
544,22,25,25,36.223,-81.693,1
545,18,22,25,52.516,-1.466,2
546,08,15,09,51.490,-0.122,110
547,20,17,21,34.050,-117.820,54
548,01,02,20,40.018,-105.280,25
549,00,23,01,31.129,-85.081,697
550,17,25,25,39.115,-77.563,1
551,18,02,23,36.059,-94.180,60
552,20,21,19,21.402,-157.739,802
553,21,25,25,38.617,-90.349,1
554,21,20,06,33.739,-117.834,4
555,19,17,00,33.971,-81.008,320
556,09,25,25,22.304,114.160,1
557,02,19,00,37.277,-76.740,10
558,09,07,11,55.605,13.000,29
561,03,17,23,40.576,-73.957,44
562,19,06,21,37.787,-122.403,295
563,00,25,25,39.766,-86.441,1
564,05,25,25,40.772,-73.930,1
565,03,05,00,49.249,-123.119,55
566,17,25,25,35.467,-97.516,1
568,14,09,25,0.0,0.0,2
571,06,05,03,45.529,-122.643,201
572,12,06,16,39.899,-74.989,103
573,18,03,25,41.975,-87.689,2
576,10,20,18,51.516,-0.141,4
577,14,21,20,30.170,-95.509,263
578,08,05,25,37.368,-122.036,3
579,22,23,09,59.904,10.821,16
581,01,04,03,24.912,121.165,15
582,00,15,20,32.897,-117.201,6
583,22,23,05,29.776,-95.114,3
584,12,16,14,35.637,139.642,117
585,04,25,25,53.543,-113.503,1
586,19,25,25,29.911,-95.302,1
587,08,10,07,36.080,-115.033,6
588,07,04,06,22.320,114.189,157
589,21,25,25,47.606,-122.332,1
590,19,18,16,32.715,-117.157,15
591,06,02,25,38.918,-77.231,6
593,00,01,23,32.333,-90.137,122
594,21,16,22,39.433,-74.504,3
595,00,05,22,44.515,-88.022,26
596,19,08,07,53.5,10.25,5
597,08,14,12,43.844,10.506,20
598,22,00,18,37.394,-122.078,153
599,22,19,20,39.922,-75.169,6
600,02,25,25,32.834,-97.228,1
601,12,18,25,35.540,139.450,3
602,06,25,25,35.065,-106.621,1
603,16,25,25,38.914,-77.046,1
604,23,07,00,0.0,0.0,485
605,08,25,25,49.589,6.116,1
606,11,18,10,52.566,-1.183,16
607,05,25,25,-33.333,115.633,1
608,18,17,19,28.458,-81.397,56
609,18,23,15,37.416,-5.983,37
611,23,01,13,43.083,-73.784,54
612,20,13,01,42.281,-83.386,20
613,03,19,18,37.757,-122.399,351
614,01,25,25,43.683,-79.766,1
615,02,01,03,39.518,-104.761,8
616,01,02,25,33.613,-112.324,2
618,23,25,25,42.732,-84.555,1
619,19,16,18,55.620,12.649,601
620,01,22,02,33.320,-111.963,11
621,18,23,14,37.862,-84.662,4
623,21,20,16,38.410,-81.804,176
624,04,25,25,40.017,-75.230,1
625,22,25,25,30.267,-97.743,1
628,04,01,25,34.135,-118.363,3
629,00,22,05,32.845,-96.864,8
631,01,15,19,33.438,-86.724,36
632,20,19,17,40.116,-88.243,11
633,22,15,21,43.700,-79.416,8
634,01,22,02,41.610,-87.064,18
635,03,25,25,35.784,-78.661,1
636,01,03,04,40.017,-105.277,422
637,20,04,09,49.057,-122.252,8
638,14,15,25,22.541,114.054,5
639,16,25,25,42.250,-83.178,1
640,00,02,04,35.799,-90.687,106
641,09,25,25,45.523,-122.676,1
643,18,16,14,41.560,-93.633,17
644,21,00,22,35.149,-90.048,58
645,17,18,00,42.034,-93.619,300
646,23,25,25,52.370,9.733,1
648,11,05,04,35.666,139.731,26
649,02,01,25,-30.040,-51.225,3
650,22,19,20,37.651,-121.031,6
651,14,07,01,35.655,139.794,23
652,21,01,16,34.142,-118.255,104
653,06,25,25,26.310,-80.237,1
655,00,25,25,40.714,-74.005,1
656,20,16,18,50.933,6.95,82
657,18,21,00,40.758,-73.985,5
658,18,23,20,47.606,-122.332,6
659,16,15,25,40.089,-75.396,2
660,17,18,25,37.531,-77.585,2
661,14,20,07,40.178,-74.021,7
662,17,25,25,47.606,-122.332,2
663,23,02,18,39.823,-75.187,20
665,05,25,25,33.961,-118.353,4
667,09,17,16,58.532,15.009,15
668,23,22,21,25.085,-80.456,12
669,08,21,20,45.582,9.274,437
670,23,03,02,33.538,-117.684,8
671,20,19,18,45.184,9.161,11
672,13,02,21,26.715,-80.053,11
673,16,25,25,51.516,-0.05,1
674,03,14,25,32.793,-79.946,4
676,16,14,25,41.707,-91.610,2
677,16,22,21,56.4,-3.433,60
678,18,11,10,44.818,20.468,12
679,13,25,25,52.266,4.748,1
680,20,03,22,37.429,-122.166,14
681,15,17,09,48.816,2.416,35
682,00,02,06,33.279,131.500,687
683,15,25,25,36.158,-86.782,1
684,05,20,04,37.419,-122.075,20
685,03,22,14,47.606,-122.332,13
686,19,08,21,51.493,-0.228,8
687,14,22,25,51.912,4.341,6
688,04,23,01,39.759,-104.998,125
689,10,14,25,-16.923,145.767,4
690,07,06,09,60.167,24.947,214
692,15,13,16,50.5,12.133,147
693,17,05,02,39.534,-119.752,185
694,05,18,00,44.951,-93.116,7
696,12,16,11,59.747,10.393,28
697,22,25,25,51.508,-0.125,1
699,01,02,16,39.766,-105.077,438
702,02,17,13,37.773,-122.461,15
703,09,10,11,51.557,0.072,35
704,13,00,01,28.649,-81.197,33
705,17,16,23,38.946,-94.676,181
706,11,06,10,35.676,139.777,54
707,21,25,25,38.893,-77.014,1
708,16,06,11,37.390,140.324,55
709,08,25,25,37.104,-113.584,1
710,23,12,02,42.525,-71.095,13
711,09,07,21,0.0,0.0,5
712,15,07,16,49.416,11.114,24
713,00,23,25,0.0,0.0,4
714,03,22,17,40.714,-74.005,4
716,20,14,17,36.792,-76.164,175
717,23,22,06,34.040,-118.347,4
718,19,02,00,33.927,-118.141,20
719,15,03,00,33.756,-84.392,17
720,04,20,01,29.876,-95.686,49
721,14,16,13,48.830,2.373,6
722,04,18,25,35.518,-98.002,2
723,08,05,04,35.267,136.867,197
724,21,14,25,53.503,9.974,2
725,02,14,03,35.630,139.550,136
726,23,22,20,38.900,-77.016,9
727,19,16,14,51.621,-0.165,53
728,06,07,08,33.768,-118.158,224
729,15,18,21,41.451,-82.035,3
730,15,21,25,49.249,-123.119,3
731,02,25,25,40.416,-3.702,1
732,12,25,25,51.540,-0.143,3
733,17,14,10,59.913,10.738,10
734,18,17,21,34.103,-118.410,6
735,14,25,25,45.765,4.856,1
736,16,18,20,43.700,-79.416,14
737,20,22,01,41.731,-87.584,36
738,03,00,04,37.706,-122.401,73
739,14,15,01,42.386,-71.119,1115
740,20,15,14,42.309,-71.385,3
741,17,00,13,39.493,-76.330,366
742,13,01,23,41.038,-73.865,152
743,21,05,03,37.338,-76.717,14
744,12,25,25,51.508,-0.125,2
745,18,19,17,51.416,-0.283,254
746,11,25,25,59.723,30.408,1
747,13,05,12,-33.857,151.176,5
748,14,13,01,37.747,-84.294,3
749,04,03,02,33.883,-117.756,120
750,21,07,23,47.252,-122.444,17
751,01,03,15,43.081,-87.890,13
753,06,02,09,-23.533,148.166,19
754,10,11,02,51.752,-1.255,8
755,04,05,03,34.004,-118.488,304
756,01,21,20,43.600,1.429,3
757,08,15,10,51.420,-1.727,6
759,15,12,14,54.067,-2.803,70
760,19,02,25,37.774,-122.419,3
761,09,02,05,21.406,-158.005,15
762,22,25,25,39.739,-104.984,1
763,01,02,19,37.731,-97.240,22
764,12,11,09,54.057,-2.860,429
765,20,00,19,34.203,-118.326,44
766,19,16,25,51.452,-0.122,2
767,17,18,12,0.0,0.0,52
768,00,25,25,51.508,-0.125,1
769,12,15,25,52.373,4.899,2
770,00,20,07,33.682,-117.995,66
771,08,25,25,52.25,-0.883,1
772,12,11,16,53.382,-2.590,11
773,12,25,25,51.511,-0.225,5
774,17,18,21,47.623,-122.313,4
776,05,04,25,52.25,21.0,4
777,07,25,25,39.920,-105.086,1
778,01,02,07,33.527,-112.085,3
779,14,25,25,42.280,-71.237,1
780,05,25,25,50.9,-1.4,1
782,05,13,19,35.686,-82.010,53
783,16,22,25,39.878,-104.682,2
784,02,25,25,40.546,-80.048,1
785,09,06,25,45.471,-122.652,2
786,05,09,11,32.5,130.433,42
789,17,25,25,33.984,-80.482,1
790,13,18,07,51.533,9.933,7
791,17,01,04,38.890,-77.084,4
792,20,21,18,30.523,-84.266,1473
793,11,25,25,53.55,10.0,1
795,14,17,12,29.727,-95.558,8
796,05,15,04,35.537,139.689,5
797,03,16,14,48.844,-122.584,124
798,22,11,10,35.316,139.474,100
799,21,22,20,32.720,-117.167,6
800,17,02,16,34.937,-80.755,584
801,07,00,02,32.823,-97.170,131
802,00,25,25,40.014,-105.270,1
803,17,18,12,52.526,13.388,270
804,10,13,05,35.685,139.751,16
805,22,09,08,60.066,6.55,5
806,12,10,25,48.831,2.227,2
808,18,25,25,37.716,-97.296,1
809,17,19,23,34.137,-118.129,159
810,07,08,10,35.493,139.550,479
811,18,09,13,50.716,-2.0,23
812,01,02,05,33.779,-116.465,23
813,04,05,06,33.971,-80.917,6
814,13,17,20,42.965,-85.668,62
815,00,23,02,28.152,-81.925,89
816,04,07,02,35.667,139.730,6
817,17,05,21,43.060,-88.106,3
818,18,22,15,31.250,-99.250,114
819,12,25,25,41.656,-0.877,1
821,04,06,03,-31.933,115.883,7
822,20,12,18,48.156,11.576,37
823,00,01,21,39.920,-105.086,391
824,10,03,09,35.858,139.663,1595
825,15,22,25,52.338,4.959,4
826,23,25,25,37.739,-121.425,1
827,06,12,15,-6.174,106.829,77
828,09,08,25,34.751,-92.278,2
829,15,25,25,-25.706,28.229,2
830,01,21,02,47.623,-122.312,35
831,14,15,17,43.700,-79.416,32
832,16,25,25,25.762,-80.267,1
833,03,04,06,29.765,-95.401,65
834,12,05,07,-33.783,151.094,15
835,01,22,08,42.326,-122.875,10
836,19,25,25,40.675,-73.971,1
837,06,01,14,42.702,-83.402,22
838,02,06,19,45.494,-122.826,220
839,12,04,10,36.399,140.562,4
841,03,25,25,37.774,-122.419,1
843,12,09,11,0.0,0.0,536
844,20,14,09,57.681,-4.036,51
845,00,25,25,30.266,-97.734,2
846,03,20,25,34.090,-118.361,2
847,00,23,06,5.466,102.759,15
848,18,25,25,37.774,-122.419,2
